data,quantidade
2022-06-08,2151
2022-06-08,60
2022-06-08,3081
2022-06-09,330
2022-06-09,1500
2022-06-09,1788
2022-06-09,225
2022-06-09,8160
2022-06-09,45
2022-06-09,600
2022-06-10,1500
2022-06-10,1989
2022-06-10,180
2022-06-10,681
2022-06-10,13509
2022-06-11,1500
2022-06-11,960
2022-06-13,120
2022-06-13,369
2022-06-13,12
2022-06-13,8577
2022-06-14,60
2022-06-14,45
2022-06-14,219
2022-06-14,5616
2022-06-14,120
2022-06-14,150
2022-06-15,150
2022-06-15,1719
2022-06-15,450
2022-06-15,600
2022-06-15,507
2022-06-15,7167
2022-06-16,3342
2022-06-16,2700
2022-06-16,750
2022-06-17,261
2022-06-17,891
2022-06-17,480
2022-06-17,450
2022-06-17,45
2022-06-17,90
2022-06-17,11175
2022-06-17,3900
2022-06-18,90
2022-06-20,366
2022-06-20,7173
2022-06-20,570
2022-06-20,90
2022-06-20,150
2022-06-21,699
2022-06-21,2322
2022-06-21,150
2022-06-21,570
2022-06-21,45
2022-06-21,81
2022-06-21,6438
2022-06-21,33
2022-06-21,1608
2022-06-22,180
2022-06-22,1362
2022-06-22,930
2022-06-22,1089
2022-06-22,27
2022-06-22,4284
2022-06-22,726
2022-06-23,5760
2022-06-23,1251
2022-06-23,1476
2022-06-23,180
2022-06-23,1173
2022-06-24,8160
2022-06-24,1500
2022-06-24,9
2022-06-24,3114
2022-06-24,7200
2022-06-24,261
2022-06-24,390
2022-06-25,6558
2022-06-25,150
2022-06-27,1866
2022-06-27,-699
2022-06-27,300
2022-06-27,3315
2022-06-28,2145
2022-06-28,8655
2022-06-28,180
2022-06-28,600
2022-06-28,78
2022-06-28,3465
2022-06-29,4998
2022-06-29,2415
2022-06-29,4932
2022-06-30,10320
2022-06-30,2253
2022-06-30,1200
2022-06-30,1248
2022-06-30,30
2022-06-30,3156
2022-06-30,480
2022-07-01,16254
2022-07-01,1890
2022-07-01,660
2022-07-01,450
2022-07-01,750
2022-07-01,1500
2022-07-02,150
2022-07-02,4200
2022-07-04,90
2022-07-04,12048
2022-07-04,360
2022-07-04,171
2022-07-04,690
2022-07-04,690
2022-07-04,600
2022-07-05,6414
2022-07-05,180
2022-07-05,540
2022-07-05,1761
2022-07-05,225
2022-07-06,333
2022-07-06,90
2022-07-06,9375
2022-07-06,4710
2022-07-06,996
2022-07-07,3741
2022-07-07,10044
2022-07-07,150
2022-07-07,1260
2022-07-07,645
2022-07-08,6357
2022-07-08,180
2022-07-08,12897
2022-07-08,600
2022-07-08,1491
2022-07-08,420
2022-07-11,2292
2022-07-11,3468
2022-07-11,6255
2022-07-12,405
2022-07-12,13593
2022-07-12,3666
2022-07-12,195
2022-07-13,9927
2022-07-13,300
2022-07-13,900
2022-07-13,1110
2022-07-13,678
2022-07-14,-957
2022-07-14,2820
2022-07-14,93
2022-07-14,690
2022-07-14,1680
2022-07-14,1365
2022-07-14,150
2022-07-14,147
2022-07-14,2100
2022-07-15,60
2022-07-15,666
2022-07-15,189
2022-07-15,5253
2022-07-15,477
2022-07-16,5100
2022-07-16,150
2022-07-16,330
2022-07-18,60
2022-07-18,2175
2022-07-18,756
2022-07-18,1275
2022-07-18,45
2022-07-18,12075
2022-07-19,2841
2022-07-19,180
2022-07-19,60
2022-07-19,5685
2022-07-19,450
2022-07-19,2040
2022-07-19,75
2022-07-20,1800
2022-07-20,1290
2022-07-20,18540
2022-07-20,834
2022-07-20,261
2022-07-20,7200
2022-07-21,1185
2022-07-21,615
2022-07-21,1125
2022-07-21,525
2022-07-22,1476
2022-07-22,300
2022-07-22,16005
2022-07-22,261
2022-07-23,11904
2022-07-23,300
2022-07-25,7950
2022-07-25,48
2022-07-25,135
2022-07-25,600
2022-07-25,852
2022-07-25,285
2022-07-26,1500
2022-07-26,150
2022-07-26,165
2022-07-26,45
2022-07-26,12981
2022-07-26,897
2022-07-27,600
2022-07-27,1044
2022-07-27,285
2022-07-27,150
2022-07-27,6417
2022-07-28,369
2022-07-28,10749
2022-07-28,450
2022-07-28,1599
2022-07-28,30
2022-07-29,240
2022-07-29,90
2022-07-29,6726
2022-07-29,750
2022-07-29,420
2022-07-29,174
2022-07-29,330
2022-07-30,210
2022-07-30,10200
2022-07-31,90
2022-07-31,720
2022-08-01,204
2022-08-01,120
2022-08-01,300
2022-08-01,12462
2022-08-01,264
2022-08-02,300
2022-08-02,1110
2022-08-02,7740
2022-08-02,459
2022-08-03,180
2022-08-03,3102
2022-08-03,915
2022-08-03,2070
2022-08-03,2445
2022-08-03,1500
2022-08-04,6996
2022-08-04,1593
2022-08-04,4509
2022-08-04,90
2022-08-05,7557
2022-08-05,2748
2022-08-05,450
2022-08-05,135
2022-08-05,3249
2022-08-05,600
2022-08-06,420
2022-08-06,240
2022-08-06,4662
2022-08-06,90
2022-08-08,6132
2022-08-08,8424
2022-08-08,429
2022-08-08,1200
2022-08-08,150
2022-08-09,60
2022-08-09,1401
2022-08-09,2880
2022-08-09,4815
2022-08-09,8829
2022-08-09,513
2022-08-09,1110
2022-08-10,750
2022-08-10,885
2022-08-10,225
2022-08-10,6756
2022-08-10,1968
2022-08-10,180
2022-08-11,6321
2022-08-11,420
2022-08-11,1107
2022-08-11,6942
2022-08-12,1035
2022-08-12,558
2022-08-12,5832
2022-08-12,90
2022-08-12,225
2022-08-13,3852
2022-08-13,720
2022-08-13,180
2022-08-13,2130
2022-08-13,5523
2022-08-15,801
2022-08-15,8154
2022-08-15,1500
2022-08-15,300
2022-08-16,765
2022-08-16,7773
2022-08-16,5772
2022-08-16,1317
2022-08-17,1089
2022-08-17,5079
2022-08-17,150
2022-08-17,6966
2022-08-18,450
2022-08-18,450
2022-08-18,438
2022-08-18,2235
2022-08-19,10683
2022-08-19,675
2022-08-19,600
2022-08-19,2802
2022-08-19,60
2022-08-19,300
2022-08-22,819
2022-08-22,7857
2022-08-22,1710
2022-08-22,600
2022-08-22,480
2022-08-23,4236
2022-08-23,801
2022-08-23,2556
2022-08-23,750
2022-08-23,708
2022-08-23,450
2022-08-24,1455
2022-08-24,1248
2022-08-24,2871
2022-08-24,120
2022-08-24,600
2022-08-25,15522
2022-08-25,228
2022-08-25,420
2022-08-25,750
2022-08-26,1320
2022-08-26,1104
2022-08-26,14847
2022-08-26,390
2022-08-26,3600
2022-08-26,3477
2022-08-26,300
2022-08-27,2475
2022-08-27,420
2022-08-27,120
2022-08-29,813
2022-08-29,3990
2022-08-29,777
2022-08-29,132
2022-08-29,120
2022-08-29,10074
2022-08-29,195
2022-08-30,420
2022-08-30,1374
2022-08-30,17082
2022-08-30,2205
2022-08-31,906
2022-08-31,360
2022-08-31,7803
2022-09-01,8067
2022-09-01,141
2022-09-01,645
2022-09-01,360
2022-09-02,2877
2022-09-02,3876
2022-09-02,1524
2022-09-02,3750
2022-09-02,480
2022-09-03,420
2022-09-03,1500
2022-09-05,150
2022-09-05,3300
2022-09-05,3015
2022-09-05,10035
2022-09-06,14763
2022-09-06,1812
2022-09-06,1155
2022-09-08,9057
2022-09-08,405
2022-09-08,1932
2022-09-08,1800
2022-09-09,30
2022-09-09,9345
2022-09-09,90
2022-09-09,1524
2022-09-12,1440
2022-09-12,1200
2022-09-12,3843
2022-09-12,432
2022-09-12,4926
2022-09-13,1518
2022-09-13,4524
2022-09-13,1077
2022-09-13,450
2022-09-13,300
2022-09-14,1065
2022-09-14,1422
2022-09-14,90
2022-09-14,2550
2022-09-14,150
2022-09-14,360
2022-09-15,30
2022-09-15,825
2022-09-15,225
2022-09-15,8376
2022-09-15,780
2022-09-15,405
2022-09-15,711
2022-09-16,1170
2022-09-16,5982
2022-09-16,309
2022-09-16,3867
2022-09-17,3270
2022-09-19,300
2022-09-19,555
2022-09-19,12087
2022-09-20,600
2022-09-20,750
2022-09-20,660
2022-09-20,720
2022-09-20,15237
2022-09-20,1779
2022-09-21,1245
2022-09-21,4326
2022-09-21,660
2022-09-21,1785
2022-09-22,477
2022-09-22,-3120
2022-09-22,300
2022-09-22,1950
2022-09-22,1032
2022-09-23,1200
2022-09-23,453
2022-09-23,2160
2022-09-23,9408
2022-09-23,645
2022-09-26,150
2022-09-26,2952
2022-09-26,24
2022-09-26,6207
2022-09-26,1077
